mu_B,energy_density,pressure
1143.0,210.2095663910148,38.04631895535109
1144.0,210.7252587589277,38.33165964288412
1145.0,211.24058720920866,38.617602933175625
1146.0,211.75555800118383,38.90414769182851
1147.0,212.2701773211008,39.191292796133666
1148.0,212.78445128327778,39.479037134904964
1149.0,213.29838593123415,39.76737960831962
1150.0,213.8119872387984,40.056319127760545
1151.0,214.32526111118764,40.34585461565955
1152.0,214.8382133860749,40.63598500534697
1153.0,215.350849834866,40.92670924065058
1154.0,215.8631761627781,41.21802627676193
1155.0,216.37519801125939,41.509935078557085
1156.0,216.88692095802412,41.802434621489155
1157.0,217.39835051825372,42.09552389118762
1158.0,217.90949214554277,42.389201883321476
1159.0,218.42035123261707,42.68346760367455
1160.0,218.93093311307976,42.97832006717034
1161.0,219.44124306104726,43.27375829901419
1162.0,219.95128629286373,43.5697813337128
1163.0,220.4610679677503,43.8663882151633
1164.0,220.97059318864783,44.1635779965303
1165.0,221.47986700304443,44.46134974012467
1166.0,221.98889440378693,44.75970251728465
1167.0,222.4976803298785,45.058635408258446
1168.0,223.00622966726036,45.35814750208965
1169.0,223.51454724958003,45.658237896503685
1170.0,224.02263785894516,45.95890569779682
1171.0,224.5305062266637,46.260150020726506
1172.0,225.03815703397026,46.561969988403995
1173.0,225.5455949127404,46.86436473218852
1174.0,226.05282444619118,47.16733339158304
1175.0,226.55985016956913,47.47087511413168
1176.0,227.0666765708267,47.77498905531958
1177.0,227.5733080912859,48.079674378473285
1178.0,228.0797491262903,48.38493025466349
1179.0,228.58600402584636,48.69075586260886
1180.0,229.09207709525202,48.99715038858212
1181.0,229.59797259571602,49.30411302631651
1182.0,230.1036947449648,49.6116429769149
1183.0,230.6092477178399,49.91973944875977
1184.0,231.11463564688464,50.22840165742441
1185.0,231.6198626229205,50.537628825585855
1186.0,232.1249326956144,50.8474201829394
1187.0,232.62984987403473,51.1577749661136
1188.0,233.13461812720018,51.46869241858773
1189.0,233.63924138461658,51.78017179060941
1190.0,234.1437235368067,52.09221233911438
1191.0,234.6480684358305,52.40481332764707
1192.0,235.15227989579617,52.71797402628234
1193.0,235.65636169336304,53.03169371154861
1194.0,236.16031756823625,53.34597166635217
1195.0,236.66415122365262,53.660807179902406
1196.0,237.16786632685935,53.976199547638444
1197.0,237.67146650958347,54.292148071156674
1198.0,238.17495536849526,54.608652058139455
1199.0,238.6783364656627,54.92571082228481
1200.0,239.18161332899888,55.243323683237286
1201.0,239.68478945270272,55.56148996652002
1202.0,240.18786829769147,55.88020900346694
1203.0,240.69085329202707,56.19948013115731
1204.0,241.19374783133546,56.51930269234999
1205.0,241.69655527921884,56.83967603541944
1206.0,242.19927896766177,57.16059951429236
1207.0,242.7019221974303,57.482072488385136
1208.0,243.20448823846507,57.80409432254281
1209.0,243.7069803302685,58.12666438697759
1210.0,244.209401682285,58.449782057210065
1211.0,244.7117554742761,58.77344671400973
1212.0,245.21404485668904,59.097657743337194
1213.0,245.71627295102016,59.422414536286595
1214.0,246.2184428501717,59.74771648902983
1215.0,246.72055761880463,60.07356300276022
1216.0,247.22262029368423,60.39995348363826
1217.0,247.72463388402156,60.72688734273727
1218.0,248.22660137180938,61.05436399598995
1219.0,248.72852571215242,61.382382864136254
1220.0,249.23040983359363,61.71094337267117
1221.0,249.7322566384341,62.0400449517937
1222.0,250.23406900304974,62.36968703635663
1223.0,250.73584977820158,62.69986906581647
1224.0,251.23760178940043,63.03059048414898
1225.0,251.7393278369191,63.36185073997953
1226.0,252.24103069666836,63.69364928617758
1227.0,252.74271311991092,64.02598558016736
1228.0,253.24437783383928,64.35885908370273
1229.0,253.7460275418024,64.69226926285718
1230.0,254.24766492358447,65.02621558797833
1231.0,254.74929263568234,65.36069753364367
1232.0,255.25091331157577,65.6957145786164
1233.0,255.75252956199625,66.03126620580218
1234.0,256.2541439751902,66.36735190220632
1235.0,256.7557591171794,66.7039711588911
1236.0,257.25737753201696,67.04112347093476
1237.0,257.7590017420399,67.37880833738996
1238.0,258.26063424811827,67.71702526124292
1239.0,258.76227752989985,68.05577374937403
1240.0,259.2639340460526,68.3950533125177
1241.0,259.7656062345026,68.73486346522354
1242.0,260.26729651266896,69.07520372581783
1243.0,260.7690072776957,69.41607361636562
1244.0,261.2707409066797,69.75747266263267
1245.0,261.7724997568959,70.09940039404928
1246.0,262.27428616601907,70.44185634367247
1247.0,262.7761024523427,70.78484004815118
1248.0,263.277950914995,71.12835104768966
1249.0,263.77983383415113,71.47238888601268
1250.0,264.2817534712432,71.81695311033053
1251.0,264.78371206916665,72.16204327130492
1252.0,265.2857118524851,72.50765892301504
1253.0,265.7877550276306,72.85379962292387
1254.0,266.2898437831025,73.2004649318453
1255.0,266.79198028966306,73.54765441391177
1256.0,267.29416670052984,73.89536763654127
1257.0,267.7964051515673,74.24360417040621
1258.0,268.29869776147314,74.59236358940186
1259.0,268.80104663196437,74.94164547061489
1260.0,269.3034538479598,75.29144939429315
1261.0,269.8059214777603,75.64177494381521
1262.0,270.3084515732263,75.99262170566033
1263.0,270.8110461699536,76.343989269379
1264.0,271.3137072874463,76.69587722756377
1265.0,271.8164369292874,77.04828517582021
1266.0,272.3192370833079,77.40121271273867
1267.0,272.82210972175176,77.75465943986595
1268.0,273.3250568014415,78.10862496167744
